OrderID,ProductID,ProductName,Category,QuantitySold,SellingPrice,DateOfSale,CustomerID,CustomerName,ContactEmail,PhoneNumber,DeliveryAddress,DeliveryDate,DeliveryStatus,Platform,CouponUsed,ReturnWindow
FLI-434150,PID-9818,Shoes,Books,4,176.72,2023-01-01,CUST-7788,John,customer822@example.com,+91-7328409224,"119 Street, City-34, State-1",2023-01-05,Cancelled,Flipkart,TRUE,13
FLI-332427,PID-8503,Book,Electronics,8,199.78,2023-01-02,CUST-1963,John,customer169@example.com,+91-8650429893,"225 Street, City-91, State-4",2023-01-06,In Transit,Flipkart,TRUE,12
FLI-488224,PID-3199,Watch,Accessories,5,350.47,2023-01-03,CUST-9820,Jane,customer723@example.com,+91-7029035278,"92 Street, City-26, State-24",2023-01-07,In Transit,Flipkart,TRUE,13
FLI-920598,PID-4389,Book,Accessories,4,502.73,2023-01-04,CUST-3737,Taylor,customer66@example.com,+91-9881759037,"8 Street, City-18, State-25",2023-01-08,Delivered,Flipkart,TRUE,14
FLI-311726,PID-4427,Book,Fashion,7,519.18,2023-01-05,CUST-1258,Chris,customer60@example.com,+91-7149963777,"325 Street, City-35, State-20",2023-01-09,Delivered,Flipkart,TRUE,7
FLI-966118,PID-6663,Watch,Accessories,10,111.41,2023-01-06,CUST-5756,Alex,customer908@example.com,+91-8407511315,"188 Street, City-72, State-30",2023-01-10,Delivered,Flipkart,TRUE,20
FLI-138107,PID-6229,Laptop,Fashion,10,806.15,2023-01-07,CUST-9056,Sam,customer831@example.com,+91-8095847305,"266 Street, City-44, State-13",2023-01-11,Cancelled,Flipkart,TRUE,14
FLI-673942,PID-1298,Headphones,Electronics,10,889.48,2023-01-08,CUST-3469,Chris,customer910@example.com,+91-9915223653,"359 Street, City-89, State-5",2023-01-12,In Transit,Flipkart,TRUE,17
FLI-323380,PID-9978,Book,Fashion,3,555.95,2023-01-09,CUST-7397,Chris,customer21@example.com,+91-7459317147,"217 Street, City-35, State-15",2023-01-13,Delivered,Flipkart,FALSE,26
FLI-405434,PID-8098,Watch,Books,2,523.91,2023-01-10,CUST-3866,Sam,customer767@example.com,+91-7496754131,"484 Street, City-13, State-19",2023-01-14,Delivered,Flipkart,TRUE,21
FLI-753169,PID-1632,Phone,Electronics,6,214.82,2023-01-11,CUST-7168,Chris,customer975@example.com,+91-8664125955,"413 Street, City-45, State-11",2023-01-15,In Transit,Flipkart,TRUE,9
FLI-113304,PID-3717,Shoes,Fashion,5,185.02,2023-01-12,CUST-7752,Jane,customer781@example.com,+91-9935317816,"455 Street, City-53, State-29",2023-01-16,Delivered,Flipkart,TRUE,19
FLI-834431,PID-5621,Headphones,Electronics,2,196.32,2023-01-13,CUST-3434,Taylor,customer587@example.com,+91-8437859178,"437 Street, City-34, State-12",2023-01-17,In Transit,Flipkart,FALSE,24
FLI-108385,PID-3348,Watch,Electronics,2,653.09,2023-01-14,CUST-3211,Sam,customer820@example.com,+91-7809659112,"244 Street, City-80, State-11",2023-01-18,Delivered,Flipkart,TRUE,17
